id_curso;nombre;tipo;creditos;t_aprobacion;id_ciclo
20W0302;SERIES Y ECUACIONES DIFERENCIALES;O;4;;57
20W0303;ESTADÍSTICA Y PROBABILIDADES;O;4;;57
20W0304;FÍSICA GENERAL II;O;4;;57
20W0305;MATEMÁTICAS DISCRETAS;O;3;;57
20W0401;ANÁLISIS Y DISEÑO DE ALGORITMOS;O;4;;58
20W0402;ESTRUCTURA DE DATOS I;O;4;;58
20W0403;MÉTODOS NUMÉRICOS;O;4;;58
20W0404;SISTEMAS DIGITALES;O;4;;58
20W0405;CONTABILIDAD DE GESTIÓN;O;2;;58
20W0406;ECONOMÍA PARA GESTIÓN;O;3;;58
20W0501;BASE DE DATOS I;O;4;;59
20W0502;ESTRUCTURA DE DATOS II;O;4;;59
20W0503;ARQUITECTURA DE COMPUTADORAS;O;4;;59
20W0504;INGENIERÍA DE REQUISITOS;O;4;;59
20W0505;LENGUAJES Y COMPILADORES;O;3;;59
20W0506;ORGANIZACIÓN Y ADMINISTRACIÓN;O;3;;59
20W0601;BASE DE DATOS II;O;4;;60
20W0602;DISEÑO DE SOFTWARE;O;4;;60
20W0603;INVESTIGACIÓN OPERATIVA;O;4;;60
20W0604;SISTEMAS OPERATIVOS;O;4;;60
20W0605;ARQUITECTURA DE SOFTWARE;O;4;;60
20W0701;COMPUTACIÓN GRÁFICA Y VISUAL;O;3;;61
20W0702;TALLER DE CONSTRUCCIÓN DE SOFTWARE;O;4;;61
20W0703;CALIDAD DE SOFTWARE;O;4;;61
20W0704;PATRONES DE DISEÑO;O;4;;61
20W0705;FINANZAS PARA LA GESTIÓN;O;3;;61
20W07056;FORMACIÓN DE EMPRESAS INFORMÁTICAS;O;2;;61
20W0801;REDES Y TRANSMISIÓN DE DATOS;O;4;;62
20W0802;TESTING DE SOFTWARE;O;4;;62
20W0803;GESTIÓN DE CONFIGURACIÓN Y MANTENIMIENTO;O;4;;62
