id_tutoria;id_estudiante;id_semestre;tipo_autorizacion;num_res_autoriza
494;17200270;22;TO ;RD 165-D-FISI-19                        
495;17200270;22;TO ;RD 165-D-FISI-19                        
496;17200270;22;TO ;RD 165-D-FISI-19                        
497;17200302;22;TO ;RD 165-D-FISI-19                        
498;13200239;22;TO ;RD 165-D-FISI-19                        
499;13200239;22;TO ;RD 165-D-FISI-19                        
500;12200190;22;TO ;RD 165-D-FISI-19                        
501;17200282;22;TO ;RD 165-D-FISI-19                        
502;17200282;22;TO ;RD 165-D-FISI-19                        
503;15200196;22;TO ;RD 165-D-FISI-19                        
504;15200196;22;TO ;RD 165-D-FISI-19                        
505;15200196;22;TO ;RD 165-D-FISI-19                        
