id_tutoria;id_estudiante;id_semestre;tipo_autorizacion;num_res_autoriza
299.0;11200054.0;2.0;AM ;RD 174-D-FISI-19
300.0;11200054.0;2.0;AM ;RD 174-D-FISI-19
301.0;15200114.0;2.0;AM ;RD 126-D-FISI-19
302.0;15200114.0;2.0;AM ;RD 126-D-FISI-19
303.0;13200014.0;2.0;AM ;RD 126-D-FISI-19
304.0;11200063.0;2.0;AM ;RD 126-D-FISI-19
305.0;11200063.0;2.0;AM ;RD 126-D-FISI-19
306.0;11200222.0;2.0;AM ;RD 126-D-FISI-19
307.0;17200054.0;2.0;AM ;RD 126-D-FISI-19
308.0;17200054.0;2.0;AM ;RD 126-D-FISI-19
309.0;15200016.0;2.0;AM ;RD 126-D-FISI-19
310.0;11200069.0;2.0;AM ;RD 126-D-FISI-19
311.0;16200122.0;2.0;AM ;RD 126-D-FISI-19
312.0;16200122.0;2.0;AM ;RD 126-D-FISI-19
313.0;14200084.0;2.0;AM ;RD 126-D-FISI-19
314.0;16200123.0;2.0;AM ;RD 126-D-FISI-19
315.0;10200185.0;2.0;AM ;RD 126-D-FISI-19
316.0;10200185.0;2.0;AM ;RD 126-D-FISI-19
317.0;16200123.0;2.0;AM ;RD 126-D-FISI-19
318.0;17200055.0;2.0;AM ;RD 126-D-FISI-19
319.0;17200157.0;2.0;AM ;RD 126-D-FISI-19
320.0;12200090.0;2.0;AM ;RD 126-D-FISI-19
321.0;12200140.0;2.0;AM ;RD 126-D-FISI-19
322.0;12200140.0;2.0;AM ;RD 126-D-FISI-19
323.0;15200181.0;2.0;AM ;RD 126-D-FISI-19
324.0;15200181.0;2.0;AM ;RD 126-D-FISI-19
325.0;14200087.0;2.0;AM ;RD 126-D-FISI-19
326.0;14200087.0;2.0;AM ;RD 126-D-FISI-19
327.0;11200076.0;2.0;AM ;RD 126-D-FISI-19
328.0;13200159.0;2.0;AM ;RD 126-D-FISI-19
329.0;9200176.0;2.0;AM ;RD 126-D-FISI-19
330.0;11200010.0;2.0;AM ;RD 126-D-FISI-19
331.0;15200169.0;2.0;AM ;RD 126-D-FISI-19
332.0;15200169.0;2.0;AM ;RD 126-D-FISI-19
333.0;13200021.0;2.0;AM ;RD 126-D-FISI-19
334.0;16200177.0;2.0;TO ;RD 125-D-FISI-19
335.0;16200177.0;2.0;TO ;RD 125-D-FISI-19
336.0;12200097.0;2.0;TO ;RD 125-D-FISI-19
337.0;12200097.0;2.0;TO ;RD 125-D-FISI-19
338.0;17200162.0;2.0;TO ;RD 125-D-FISI-19
339.0;17200162.0;2.0;TO ;RD 125-D-FISI-19
340.0;13200023.0;2.0;TO ;RD 125-D-FISI-19
341.0;17200164.0;2.0;TO ;RD 125-D-FISI-19
342.0;13200048.0;22.0;TO ;RD 126-D-FISI-19
343.0;13200048.0;22.0;AM ;RD 126-D-FISI-19
344.0;17200256.0;22.0;TO ;RD 126-D-FISI-19
345.0;10200143.0;22.0;TO ;RD 125-D-FISI-19
346.0;17200089.0;22.0;TO ;RD 126-D-FISI-19
347.0;17200316.0;22.0;AM ;RD 126-D-FISI-19
348.0;12200182.0;22.0;TO ;RD 126-D-FISI-19
349.0;13200050.0;22.0;TO ;RD 126-D-FISI-19
350.0;13200050.0;22.0;TO ;RD 126-D-FISI-19
351.0;16200206.0;22.0;TO ;RD 126-D-FISI-19
352.0;16200207.0;22.0;TO ;RD 126-D-FISI-19
353.0;17200318.0;22.0;TO ;RD 126-D-FISI-19
354.0;15200198.0;22.0;TO ;RD 126-D-FISI-19
355.0;15200198.0;22.0;TO ;RD 126-D-FISI-19
356.0;13200052.0;22.0;TO ;RD 126-D-FISI-19
357.0;16200208.0;22.0;TO ;RD 126-D-FISI-19
358.0;17200076.0;22.0;TO ;RD 126-D-FISI-19
359.0;17200076.0;22.0;TO ;RD 126-D-FISI-19
360.0;16200056.0;22.0;TO ;RD 126-D-FISI-19
361.0;16200056.0;22.0;TO ;RD 126-D-FISI-19
362.0;16200056.0;22.0;TO ;RD 126-D-FISI-19
363.0;9200139.0;22.0;TO ;RD 126-D-FISI-19
364.0;17200322.0;22.0;TO ;RD 126-D-FISI-19
365.0;15200202.0;22.0;TO ;RD 126-D-FISI-19
366.0;15200202.0;22.0;TO ;RD 126-D-FISI-19
367.0;17200088.0;22.0;TO ;RD 126-D-FISI-19
368.0;17200088.0;22.0;TO ;RD 126-D-FISI-19
369.0;17200088.0;22.0;TO ;RD 126-D-FISI-19
370.0;17200088.0;22.0;TO ;RD 126-D-FISI-19
371.0;14200051.0;22.0;TO ;RD 126-D-FISI-19
372.0;12200061.0;22.0;TO ;RD 126-D-FISI-19
373.0;17200295.0;22.0;TO ;RD 126-D-FISI-19
374.0;15200202.0;22.0;TO ;RD 126-D-FISI-19
375.0;17200260.0;22.0;TO ;RD 126-D-FISI-19
376.0;12200220.0;22.0;TO ;RD 126-D-FISI-19
377.0;12200220.0;22.0;TO ;RD 126-D-FISI-19
378.0;12200220.0;22.0;TO ;RD 126-D-FISI-19
379.0;11200033.0;22.0;TO ;RD 126-D-FISI-19
380.0;17200083.0;22.0;TO ;RD 126-D-FISI-19
381.0;16200059.0;22.0;TO ;RD 126-D-FISI-19
382.0;17200266.0;22.0;TO ;RD 126-D-FISI-19
383.0;12200186.0;22.0;TO ;RD 126-D-FISI-19
384.0;11200142.0;22.0;TO ;RD 126-D-FISI-19
385.0;9200053.0;22.0;TO ;RD 126-D-FISI-19
386.0;16200087.0;22.0;TO ;RD 126-D-FISI-19
387.0;16200087.0;22.0;TO ;RD 126-D-FISI-19
388.0;17200077.0;22.0;TO ;RD 126-D-FISI-19
389.0;17200273.0;22.0;TO ;RD 126-D-FISI-19
390.0;10200156.0;22.0;TO ;RD 126-D-FISI-19
391.0;17200277.0;22.0;TO ;RD 126-D-FISI-19
392.0;11200037.0;22.0;TO ;RD 126-D-FISI-19
393.0;11200145.0;22.0;TO ;RD 126-D-FISI-19
394.0;17200278.0;22.0;TO ;RD 126-D-FISI-19
395.0;17200252.0;22.0;TO ;RD 126-D-FISI-19
396.0;17200252.0;22.0;TO ;RD 126-D-FISI-19
397.0;16200257.0;22.0;TO ;RD 126-D-FISI-19
398.0;16200257.0;22.0;TO ;RD 126-D-FISI-19
399.0;16200257.0;22.0;AM ;RD 126-D-FISI-19
400.0;16200219.0;22.0;TO ;RD 126-D-FISI-19
401.0;16200219.0;22.0;TO ;RD 126-D-FISI-19
402.0;14200050.0;22.0;TO ;RD 126-D-FISI-19
403.0;16200222.0;22.0;TO ;RD 126-D-FISI-19
404.0;16200222.0;22.0;TO ;RD 126-D-FISI-19
405.0;15200214.0;22.0;TO ;RD 126-D-FISI-19
406.0;16200091.0;22.0;TO ;RD 126-D-FISI-19
407.0;17200286.0;22.0;TO ;RD 126-D-FISI-19
408.0;17200286.0;22.0;TO ;RD 126-D-FISI-19
409.0;17200286.0;22.0;TO ;RD 126-D-FISI-19
410.0;16200225.0;22.0;TO ;RD 126-D-FISI-19
411.0;11200184.0;22.0;TO ;RD 126-D-FISI-19
412.0;11200184.0;22.0;TO ;RD 126-D-FISI-19
413.0;15200075.0;22.0;TO ;RD 126-D-FISI-19
414.0;14200197.0;22.0;TO ;RD 126-D-FISI-19
415.0;17200291.0;22.0;TO ;RD 126-D-FISI-19
416.0;11200152.0;22.0;TO ;RD 126-D-FISI-19
417.0;11200152.0;22.0;TO ;RD 126-D-FISI-19
418.0;11200152.0;22.0;TO ;RD 126-D-FISI-19
419.0;16200261.0;22.0;TO ;RD 126-D-FISI-19
420.0;16200261.0;22.0;TO ;RD 126-D-FISI-19
421.0;17200120.0;22.0;TO ;RD 126-D-FISI-19
422.0;17200120.0;22.0;TO ;RD 126-D-FISI-19
423.0;17200120.0;22.0;AM ;RD 126-D-FISI-19
424.0;17200296.0;22.0;TO ;RD 126-D-FISI-19
425.0;15200078.0;22.0;TO ;RD 126-D-FISI-19
426.0;15200078.0;22.0;TO ;RD 126-D-FISI-19
427.0;14200201.0;22.0;TO ;RD 126-D-FISI-19
428.0;16200229.0;22.0;TO ;RD 126-D-FISI-19
429.0;10200071.0;22.0;TO ;RD 126-D-FISI-19
430.0;12200198.0;22.0;TO ;RD 126-D-FISI-19
431.0;12200198.0;22.0;TO ;RD 126-D-FISI-19
432.0;17200298.0;22.0;TO ;RD 126-D-FISI-19
433.0;16200276.0;22.0;TO ;RD 126-D-FISI-19
434.0;12200232.0;22.0;TO ;RD 126-D-FISI-19
435.0;16200233.0;22.0;TO ;RD 126-D-FISI-19
436.0;16200233.0;22.0;TO ;RD 126-D-FISI-19
437.0;16200233.0;22.0;TO ;RD 126-D-FISI-19
438.0;16200233.0;22.0;TO ;RD 126-D-FISI-19
439.0;16200263.0;22.0;TO ;RD 126-D-FISI-19
440.0;11200165.0;22.0;TO ;RD 126-D-FISI-19
441.0;11200166.0;22.0;TO ;RD 126-D-FISI-19
442.0;11200166.0;22.0;TO ;RD 126-D-FISI-19
443.0;17200078.0;22.0;TO ;RD 126-D-FISI-19
444.0;14200058.0;22.0;TO ;RD 126-D-FISI-19
445.0;15200241.0;22.0;TO ;RD 126-D-FISI-19
446.0;15200241.0;22.0;TO ;RD 126-D-FISI-19
