id_estudiante;id_escuela;id_plan;anio_ingreso
25200158;2;8;25
19130112;2;7;19
23200272;2;7;23
22200252;2;7;22
25200159;2;8;25
21200127;1;3;21
22200090;2;7;22
25200103;1;3;25
25200104;1;3;25
23200105;2;7;23
23200274;2;7;23
22200091;2;7;22
23200275;2;7;23
25200020;1;3;25
25200021;1;3;25
18200273;2;6;18
25200070;3;9;25
25200197;3;9;25
21200255;2;7;21
22200183;1;3;22
23200277;2;7;23
23200106;2;7;23
20200187;1;3;20
22200303;2;7;22
24200059;2;8;24
21200299;2;7;21
20200009;1;3;20
22200176;1;3;22
21200057;1;3;21
22200190;1;3;22
25200022;1;3;25
25200079;1;3;25
22200118;1;3;22
24200135;1;3;24
24200060;2;8;24
20200015;1;3;20
20200094;1;3;20
20200098;1;3;20
20200188;1;3;20
21200096;1;3;21
22200206;1;3;22
23200185;1;3;23
20200034;2;7;20
17200041;1;2;17
25200105;1;3;25
23200331;2;7;23
25200207;3;9;25
21200286;2;7;21
22200292;2;7;22
20200048;2;7;20
25200023;1;3;25
21200221;2;7;21
23200332;2;7;23
21200222;2;7;21
22200129;1;3;22
20200273;2;7;20
23200186;1;3;23
23200278;2;7;23
19200033;1;3;19
22200027;1;3;22
23200187;1;3;23
23200189;1;3;23
23200188;1;3;23
22200199;1;3;22
23200107;2;7;23
24200166;2;8;24
25200211;3;9;25
19200087;2;7;19
20200190;1;3;20
25200024;1;3;25
18200162;1;2;18
20200191;1;3;20
21200010;1;3;21
21200011;1;3;21
21200047;1;3;21
21200162;1;3;21
22200059;1;3;22
22200203;1;3;22
23200190;1;3;23
25200025;1;3;25
16200225;2;6;16
20200142;2;7;20
22200092;2;7;22
22200241;2;7;22
23200333;2;7;23
25200198;3;9;25
22200202;1;3;22
22200028;1;3;22
22200124;1;3;22
23200191;1;3;23
24200111;1;3;24
25200149;1;3;25
16130054;2;6;16
20200274;2;7;20
23200279;2;7;23
22200144;1;3;22
21200059;1;3;21
23200192;1;3;23
22200121;1;3;22
24200112;1;3;24
21200298;2;7;21
17200175;1;2;17
21200186;1;3;21
18200114;2;6;18
21200176;1;3;21
24200227;2;8;24
25200026;1;3;25
22200093;2;7;22
24200113;1;3;24
19200258;2;7;19
22200106;2;7;22
23200334;2;7;23
17200237;1;2;17
21200241;2;7;21
22200094;2;7;22
20200276;2;7;20
22200029;1;3;22
22200263;2;7;22
23200280;2;7;23
23200281;2;7;23
25200184;2;8;25
17200176;1;2;17
20200193;1;3;20
23200036;1;3;23
23200037;1;3;23
20200277;2;7;20
25200051;2;8;25
20200063;2;7;20
22200030;1;3;22
23200193;1;3;23
24200022;1;3;24
22200107;2;7;22
22200259;2;7;22
25200106;1;3;25
23200038;1;3;23
24200114;1;3;24
19200197;1;3;19
25200107;1;3;25
